case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp
case_10,Analyze Quotation comparison Map,Alberto Duport,2025-08-06 10:18:48.935471,2025-08-06 11:00:48.935471,2025-08-06 11:13:48.935471
case_14,Analyze Purchase Requisition,Heinz Gutschmidt,2025-08-05 18:03:48.935471,2025-08-06 11:23:48.935471,2025-08-06 11:26:48.935471
case_4,Create Purchase Order,Magdalena Predutta,2025-08-06 09:31:48.935471,2025-08-06 11:39:48.935471,2025-08-06 11:47:48.935471
case_10,Choose best option,Fjodor Kowalski,2025-08-06 11:13:48.935471,2025-08-06 11:40:48.935471,2025-08-06 11:40:48.935471
case_18,Create Purchase Requisition,Anne Olwada,2025-08-06 11:46:48.935471,2025-08-06 11:46:48.935471,2025-08-06 12:36:48.935471
case_5,Confirm Purchase Order,Carmen Finacse,2025-08-05 06:12:48.935471,2025-08-06 12:21:48.935471,2025-08-06 12:46:48.935471
case_7,Confirm Purchase Order,Karen Clarens,2025-08-05 07:45:48.935471,2025-08-06 12:45:48.935471,2025-08-06 12:46:48.935471
case_2,Confirm Purchase Order,Carmen Finacse,2025-08-03 20:22:48.935471,2025-08-06 12:51:48.935471,2025-08-06 13:03:48.935471
case_14,Create Request for Quotation Requester,Alberto Duport,2025-08-06 11:26:48.935471,2025-08-06 13:23:48.935471,2025-08-06 13:30:48.935471
case_18,Create Request for Quotation Requester Manager,Francis Odell,2025-08-06 12:36:48.935471,2025-08-06 16:33:48.935471,2025-08-06 16:35:48.935471
case_6,Settle conditions with supplier,Karel de Groot,2025-08-05 20:52:48.935471,2025-08-06 16:35:48.935471,2025-08-06 18:56:48.935471
case_16,Analyze Request for Quotation,Francois de Perrier,2025-08-06 04:31:48.935471,2025-08-06 19:05:48.935471,2025-08-06 19:32:48.935471
case_18,Analyze Request for Quotation,Francois de Perrier,2025-08-06 16:35:48.935471,2025-08-06 19:07:48.935471,2025-08-06 19:34:48.935471
case_19,Create Purchase Requisition,Miu Hanwan,2025-08-06 19:22:48.935471,2025-08-06 19:22:48.935471,2025-08-06 20:40:48.935471
case_20,Create Purchase Requisition,Kim Passa,2025-08-06 19:56:48.935471,2025-08-06 19:56:48.935471,2025-08-06 21:49:48.935471
case_18,Send Request for Quotation to Supplier,Karel de Groot,2025-08-06 19:34:48.935471,2025-08-06 22:49:48.935471,2025-08-07 00:12:48.935471
case_19,Analyze Purchase Requisition,Maris Freeman,2025-08-06 20:40:48.935471,2025-08-06 23:22:48.935471,2025-08-06 23:28:48.935471
case_21,Create Purchase Requisition,Fjodor Kowalski,2025-08-07 00:06:48.935471,2025-08-07 00:06:48.935471,2025-08-07 00:09:48.935471
case_16,Send Request for Quotation to Supplier,Francois de Perrier,2025-08-06 19:32:48.935471,2025-08-07 00:08:48.935471,2025-08-07 00:31:48.935471
case_11,Send Request for Quotation to Supplier,Karel de Groot,2025-08-06 00:31:48.935471,2025-08-07 00:11:48.935471,2025-08-07 00:21:48.935471
case_4,Confirm Purchase Order,Karen Clarens,2025-08-06 11:47:48.935471,2025-08-07 01:31:48.935471,2025-08-07 01:58:48.935471
case_6,Create Purchase Order,Karel de Groot,2025-08-06 18:56:48.935471,2025-08-07 01:47:48.935471,2025-08-07 01:58:48.935471
case_17,Analyze Purchase Requisition,Heinz Gutschmidt,2025-08-06 05:21:48.935471,2025-08-07 02:48:48.935471,2025-08-07 02:55:48.935471
case_22,Create Purchase Requisition,Kim Passa,2025-08-07 03:12:48.935471,2025-08-07 03:12:48.935471,2025-08-07 03:48:48.935471
case_16,Create Quotation comparison Map,Magdalena Predutta,2025-08-07 00:31:48.935471,2025-08-07 03:56:48.935471,2025-08-07 06:59:48.935471
case_23,Create Purchase Requisition,Kim Passa,2025-08-07 04:32:48.935471,2025-08-07 04:32:48.935471,2025-08-07 07:01:48.935471
case_7,Deliver Goods Services,Kiu Kan,2025-08-06 12:46:48.935471,2025-08-07 05:50:48.935471,2025-08-08 18:05:48.935471
case_24,Create Purchase Requisition,Esmana Liubiata,2025-08-07 05:51:48.935471,2025-08-07 05:51:48.935471,2025-08-07 06:44:48.935471
case_11,Create Quotation comparison Map,Francois de Perrier,2025-08-07 00:21:48.935471,2025-08-07 06:10:48.935471,2025-08-07 10:56:48.935471
case_19,Create Request for Quotation Requester Manager,Francis Odell,2025-08-06 23:28:48.935471,2025-08-07 07:47:48.935471,2025-08-07 07:49:48.935471
case_15,Analyze Purchase Requisition,Maris Freeman,2025-08-06 00:52:48.935471,2025-08-07 09:01:48.935471,2025-08-07 09:07:48.935471
case_23,Analyze Purchase Requisition,Francis Odell,2025-08-07 07:01:48.935471,2025-08-07 09:08:48.935471,2025-08-07 09:14:48.935471
case_16,Analyze Quotation comparison Map,Alberto Duport,2025-08-07 06:59:48.935471,2025-08-07 09:17:48.935471,2025-08-07 09:17:48.935471
case_21,Create Request for Quotation Requester Manager,Maris Freeman,2025-08-07 00:09:48.935471,2025-08-07 09:40:48.935471,2025-08-07 09:41:48.935471
case_15,Create Request for Quotation Requester,Christian Francois,2025-08-07 09:07:48.935471,2025-08-07 10:42:48.935471,2025-08-07 10:50:48.935471
case_25,Create Purchase Requisition,Esmana Liubiata,2025-08-07 11:26:48.935471,2025-08-07 11:26:48.935471,2025-08-07 12:03:48.935471
case_25,Create Request for Quotation Requester,Tesca Lobes,2025-08-07 12:03:48.935471,2025-08-07 12:36:48.935471,2025-08-07 12:45:48.935471
case_11,Analyze Quotation comparison Map,Esmana Liubiata,2025-08-07 10:56:48.935471,2025-08-07 13:02:48.935471,2025-08-07 13:08:48.935471
case_24,Create Request for Quotation Requester,Miu Hanwan,2025-08-07 06:44:48.935471,2025-08-07 13:11:48.935471,2025-08-07 13:21:48.935471
case_26,Create Purchase Requisition,Fjodor Kowalski,2025-08-07 13:46:48.935471,2025-08-07 13:46:48.935471,2025-08-07 13:57:48.935471
case_27,Create Purchase Requisition,Anne Olwada,2025-08-07 14:18:48.935471,2025-08-07 14:18:48.935471,2025-08-07 15:17:48.935471
case_11,Choose best option,Immanuel Karagianni,2025-08-07 13:08:48.935471,2025-08-07 14:22:48.935471,2025-08-07 14:22:48.935471
case_16,Choose best option,Nico Ojenbeer,2025-08-07 09:17:48.935471,2025-08-07 14:51:48.935471,2025-08-07 14:51:48.935471
case_17,Create Request for Quotation Requester,Nico Ojenbeer,2025-08-07 02:55:48.935471,2025-08-07 15:39:48.935471,2025-08-07 15:57:48.935471
case_17,Analyze Request for Quotation,Karel de Groot,2025-08-07 15:57:48.935471,2025-08-07 18:39:48.935471,2025-08-07 19:08:48.935471
case_23,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-07 09:14:48.935471,2025-08-07 18:44:48.935471,2025-08-07 18:46:48.935471
case_20,Analyze Purchase Requisition,Maris Freeman,2025-08-06 21:49:48.935471,2025-08-07 19:11:48.935471,2025-08-07 19:19:48.935471
case_23,Analyze Request for Quotation,Magdalena Predutta,2025-08-07 18:46:48.935471,2025-08-07 22:08:48.935471,2025-08-07 22:39:48.935471
case_25,Analyze Request for Quotation,Francois de Perrier,2025-08-07 12:45:48.935471,2025-08-07 22:15:48.935471,2025-08-07 22:29:48.935471
case_24,Analyze Request for Quotation,Karel de Groot,2025-08-07 13:21:48.935471,2025-08-07 23:15:48.935471,2025-08-07 23:30:48.935471
case_22,Analyze Purchase Requisition,Maris Freeman,2025-08-07 03:48:48.935471,2025-08-08 00:22:48.935471,2025-08-08 00:28:48.935471
case_6,Confirm Purchase Order,Sean Manney,2025-08-07 01:58:48.935471,2025-08-08 01:00:48.935471,2025-08-08 01:27:48.935471
case_17,Amend Request for Quotation Requester,Esmana Liubiata,2025-08-07 19:08:48.935471,2025-08-08 01:31:48.935471,2025-08-08 01:36:48.935471
case_17,Analyze Request for Quotation,Karel de Groot,2025-08-08 01:36:48.935471,2025-08-08 02:37:48.935471,2025-08-08 02:50:48.935471
case_24,Send Request for Quotation to Supplier,Francois de Perrier,2025-08-07 23:30:48.935471,2025-08-08 02:38:48.935471,2025-08-08 03:01:48.935471
case_23,Send Request for Quotation to Supplier,Karel de Groot,2025-08-07 22:39:48.935471,2025-08-08 03:35:48.935471,2025-08-08 03:53:48.935471
case_1,Deliver Goods Services,Kiu Kan,2025-08-05 17:46:48.935471,2025-08-08 04:55:48.935471,2025-08-09 18:11:48.935471
case_18,Create Quotation comparison Map,Magdalena Predutta,2025-08-07 00:12:48.935471,2025-08-08 05:28:48.935471,2025-08-08 08:23:48.935471
case_23,Create Quotation comparison Map,Karel de Groot,2025-08-08 03:53:48.935471,2025-08-08 06:15:48.935471,2025-08-08 08:07:48.935471
case_15,Analyze Request for Quotation,Magdalena Predutta,2025-08-07 10:50:48.935471,2025-08-08 06:56:48.935471,2025-08-08 07:15:48.935471
case_9,Analyze Request for Quotation,Karel de Groot,2025-08-04 23:31:48.935471,2025-08-08 07:00:48.935471,2025-08-08 07:22:48.935471
case_8,Confirm Purchase Order,Kiu Kan,2025-08-06 09:11:48.935471,2025-08-08 07:06:48.935471,2025-08-08 07:30:48.935471
case_27,Analyze Purchase Requisition,Maris Freeman,2025-08-07 15:17:48.935471,2025-08-08 08:20:48.935471,2025-08-08 08:25:48.935471
case_24,Create Quotation comparison Map,Karel de Groot,2025-08-08 03:01:48.935471,2025-08-08 08:50:48.935471,2025-08-08 14:13:48.935471
case_27,Create Request for Quotation Requester,Penn Osterwalder,2025-08-08 08:25:48.935471,2025-08-08 11:10:48.935471,2025-08-08 11:19:48.935471
case_4,Deliver Goods Services,Carmen Finacse,2025-08-07 01:58:48.935471,2025-08-08 11:57:48.935471,2025-08-10 01:30:48.935471
case_15,Send Request for Quotation to Supplier,Magdalena Predutta,2025-08-08 07:15:48.935471,2025-08-08 12:26:48.935471,2025-08-08 12:59:48.935471
case_11,Settle conditions with supplier,Karel de Groot,2025-08-07 14:22:48.935471,2025-08-08 12:35:48.935471,2025-08-08 23:36:48.935471
case_22,Create Request for Quotation Requester Manager,Heinz Gutschmidt,2025-08-08 00:28:48.935471,2025-08-08 12:59:48.935471,2025-08-08 13:00:48.935471
case_23,Analyze Quotation comparison Map,Tesca Lobes,2025-08-08 08:07:48.935471,2025-08-08 14:08:48.935471,2025-08-08 14:12:48.935471
case_24,Analyze Quotation comparison Map,Alberto Duport,2025-08-08 14:13:48.935471,2025-08-08 14:30:48.935471,2025-08-08 14:50:48.935471
case_16,Settle conditions with supplier,Magdalena Predutta,2025-08-07 14:51:48.935471,2025-08-08 14:34:48.935471,2025-08-08 22:23:48.935471
case_24,Choose best option,Kim Passa,2025-08-08 14:50:48.935471,2025-08-08 15:08:48.935471,2025-08-08 15:08:48.935471
case_24,Settle conditions with supplier,Francois de Perrier,2025-08-08 15:08:48.935471,2025-08-08 15:39:48.935471,2025-08-09 03:51:48.935471
case_27,Analyze Request for Quotation,Magdalena Predutta,2025-08-08 11:19:48.935471,2025-08-08 16:30:48.935471,2025-08-08 16:58:48.935471
case_27,Amend Request for Quotation Requester,Esmana Liubiata,2025-08-08 16:58:48.935471,2025-08-08 17:00:48.935471,2025-08-08 17:13:48.935471
